t1,t2,t3,t4,t5,t6,nearest metro station distance(in km),type of road,nearest police chowki,average dist from police chowki,number of police chowki,population density,rape,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,sum,crm
1,0,0,0,0,0,0.16,major district road,6.7,3,6,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,0.455,major district road,0.8,13,2,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,0.8,major district road,1.1,3,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1,major district road,2.7,12,5,116000,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0.935,major district road,1.7,12,6,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,1,major district road,0.6,12,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1,major district road,1.3,7,2,2731929,280,595,150,39,0,406,665,4379.9,630.7056
1,0,0,0,0,0,2,major district road,0.5,7,5,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.28,major district road,0.4,8,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1,major district road,0.2,11,5,2543243,251,484,137,64,52,223,63,2279.76,328.28544
1,0,0,0,0,0,1,major district road,1.2,6,5,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,8.1,major district road,10.5,6,2,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,0.278,major district road,0.8,5,4,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,1.2,major district road,5.5,5,2,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,2,major district road,0.9,11,2,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,0.044,major district road,0.3,9,6,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,3.2,major district road,0.1,11,4,582320,91,212,54,9,26,123,37,997.48,143.63712
1,0,0,0,0,0,0.6,major district road,0.7,3,5,2292958,234,494,86,57,99,248,68,2305.64,332.01216
1,0,0,0,0,0,2.8,major district road,1.1,7,3,2292958,234,494,86,57,99,248,68,2305.64,332.01216
0,1,0,0,0,0,1.2,major district road,2.5,7,6,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,5.1,district road,17.4,7,6,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,5.7,major district road,2.7,15,6,2292958,266,469,85,34,74,274,123,0,206.4225
0,1,0,0,0,0,0.27,major district road,2.6,14,6,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,2.4,major district road,0.393,15,2,582320,91,212,54,9,26,123,37,0,84.7858
